prompt_index,timestamp_ns,prompt_text,typed_text,match
0,6702069666,grocery list has 2 apples 3 bananas and 1 melon,grocery list has 2 apples 3 bananas and 1 melon,YES
1,23770706958,receipt 9007 shows total 48 for week 2,receipt 9007 shows total 48 for week 2,YES
2,34705925166,order 7781 shipped 6 items to box 14,order 7781 shipped 6 items to box 14,YES
3,45423193708,store aisle 5 has cereal pack size 12,store aisle 5 has cereal pack size 12,YES
4,58688198041,coupon 30 saved 7 on bill 105,coupon 30 saved 7 on bill 105,YES
5,69162438416,kitchen timer rang at 18 45 during step 4,kitchen timer rang at 18 45 during step 4,YES
6,85085143458,cook rice for 20 minutes then rest 5,cook rice for 20 minutes then rest 5,YES
7,95051886791,recipe 9 needs 250 ml milk and 2 eggs,recipe 9 needs 250 ml milk and 2 eggs,YES
8,108672630333,fridge shelf 3 holds 4 lunch boxes,fridge shelf 3 holds 4 lunch boxed,NO
8,119434135000,fridge shelf 3 holds 4 lunch boxes,frideg shelf 3 holds 4 lunch boxes,NO
8,134352174083,fridge shelf 3 holds 4 lunch boxes,fridge shelf 3 holds 4 lunch boxes,YES
9,151933079125,delivery window is 14 00 to 16 00 today,delivery window is 14 00 to 16 00 today,YES
10,163622578166,market booth 8 sold 35 cups by noon,market booth 8 sold 35 cups by noon,YES
11,175495156416,payment id 4412 was approved in 3 seconds,payment id 4412 was approved in 3 seconds,YES
12,187249669791,budget tracker shows 62 spent out of 90,budget tracker shows 62 spent out of 90,YES
